goos: darwin
goarch: arm64
pkg: github.com/mateothegreat/go-validation
cpu: Apple M1 Max
BenchmarkValidationSuite/Scaling/OneOf_Valid_Size100000_Size100000_Conc1-10                           	232074145	         5.176 ns/op	       0 B/op	       0 allocs/op
BenchmarkValidationSuite/Scaling/OneOf_Invalid_Size10_Size10_Conc1-10                                 	 3759028	       318.5 ns/op	     200 B/op	       8 allocs/op
BenchmarkValidationSuite/Scaling/OneOf_Invalid_Size100_Size100_Conc1-10                               	 3548412	       318.8 ns/op	     200 B/op	       8 allocs/op
BenchmarkValidationSuite/Scaling/OneOf_Invalid_Size1000_Size1000_Conc1-10                             	 3722590	       316.2 ns/op	     200 B/op	       8 allocs/op
BenchmarkValidationSuite/Scaling/OneOf_Invalid_Size10000_Size10000_Conc1-10                           	 3809212	       381.8 ns/op	     200 B/op	       8 allocs/op
BenchmarkValidationSuite/Scaling/OneOf_Invalid_Size100000_Size100000_Conc1-10                         	 3675848	       320.6 ns/op	     200 B/op	       8 allocs/op
BenchmarkValidationSuite/Scaling/Factory_Range_Cached_Size10_Size10_Conc1-10                          	25296441	        49.53 ns/op	      24 B/op	       1 allocs/op
BenchmarkValidationSuite/Scaling/Factory_Range_Cached_Size100_Size100_Conc1-10                        	25447473	        46.72 ns/op	      24 B/op	       1 allocs/op
BenchmarkValidationSuite/Scaling/Factory_Range_Cached_Size1000_Size1000_Conc1-10                      	25613637	        46.98 ns/op	      24 B/op	       1 allocs/op
BenchmarkValidationSuite/Scaling/Factory_Range_Cached_Size10000_Size10000_Conc1-10                    	24372698	        46.97 ns/op	      24 B/op	       1 allocs/op
BenchmarkValidationSuite/Scaling/Factory_Range_Cached_Size100000_Size100000_Conc1-10                  	25415920	        51.58 ns/op	      24 B/op	       1 allocs/op
BenchmarkValidationSuite/Scaling/Factory_StringLen_Cached_Size10_Size10_Conc1-10                      	24502900	        47.63 ns/op	      16 B/op	       1 allocs/op
BenchmarkValidationSuite/Scaling/Factory_StringLen_Cached_Size100_Size100_Conc1-10                    	25016569	        51.17 ns/op	      16 B/op	       1 allocs/op
BenchmarkValidationSuite/Scaling/Factory_StringLen_Cached_Size1000_Size1000_Conc1-10                  	24753985	        47.86 ns/op	      16 B/op	       1 allocs/op
BenchmarkValidationSuite/Scaling/Factory_StringLen_Cached_Size10000_Size10000_Conc1-10                	25333491	        49.71 ns/op	      16 B/op	       1 allocs/op
BenchmarkValidationSuite/Scaling/Factory_StringLen_Cached_Size100000_Size100000_Conc1-10              	24629341	        47.14 ns/op	      16 B/op	       1 allocs/op
BenchmarkValidationSuite/Scaling/MultiField_5Fields_Size10_Size10_Conc1-10                            	 1412410	       863.7 ns/op	     320 B/op	      15 allocs/op
BenchmarkValidationSuite/Scaling/MultiField_5Fields_Size100_Size100_Conc1-10                          	 1305051	       858.0 ns/op	     320 B/op	      15 allocs/op
BenchmarkValidationSuite/Scaling/MultiField_5Fields_Size1000_Size1000_Conc1-10                        	 1403737	       866.3 ns/op	     320 B/op	      15 allocs/op
BenchmarkValidationSuite/Scaling/MultiField_5Fields_Size10000_Size10000_Conc1-10                      	 1336568	       854.9 ns/op	     320 B/op	      15 allocs/op
BenchmarkValidationSuite/Scaling/MultiField_5Fields_Size100000_Size100000_Conc1-10                    	 1395518	       855.0 ns/op	     320 B/op	      15 allocs/op
BenchmarkValidationSuite/Scaling/MultiField_10Fields_Size10_Size10_Conc1-10                           	  638131	      2069 ns/op	    1256 B/op	      33 allocs/op
BenchmarkValidationSuite/Scaling/MultiField_10Fields_Size100_Size100_Conc1-10                         	  620205	      2043 ns/op	    1256 B/op	      33 allocs/op
BenchmarkValidationSuite/Scaling/MultiField_10Fields_Size1000_Size1000_Conc1-10                       	  619753	      1923 ns/op	    1256 B/op	      33 allocs/op
BenchmarkValidationSuite/Scaling/MultiField_10Fields_Size10000_Size10000_Conc1-10                     	  609084	      1908 ns/op	    1256 B/op	      33 allocs/op
BenchmarkValidationSuite/Scaling/MultiField_10Fields_Size100000_Size100000_Conc1-10                   	  611367	      1970 ns/op	    1256 B/op	      33 allocs/op
BenchmarkValidationSuite/Scaling/MultiField_20Fields_Size10_Size10_Conc1-10                           	  285234	      4002 ns/op	    3081 B/op	      65 allocs/op
BenchmarkValidationSuite/Scaling/MultiField_20Fields_Size100_Size100_Conc1-10                         	  293906	      4012 ns/op	    3081 B/op	      65 allocs/op
BenchmarkValidationSuite/Scaling/MultiField_20Fields_Size1000_Size1000_Conc1-10                       	  282478	      4064 ns/op	    3081 B/op	      65 allocs/op
BenchmarkValidationSuite/Scaling/MultiField_20Fields_Size10000_Size10000_Conc1-10                     	  292682	      4041 ns/op	    3081 B/op	      65 allocs/op
BenchmarkValidationSuite/Scaling/MultiField_20Fields_Size100000_Size100000_Conc1-10                   	  295219	      3998 ns/op	    3081 B/op	      65 allocs/op
BenchmarkValidationSuite/Concurrency/Concurrent_Range_Int_Valid_Conc1-10                              	1000000000	         0.6557 ns/op	       0 B/op	       0 allocs/op
BenchmarkValidationSuite/Concurrency/Concurrent_Range_Int_Valid_Conc2-10                              	1000000000	         0.4736 ns/op	       0 B/op	       0 allocs/op
